trace_id,subnet,maxPower,keepRaw,sgram
AV.SPCG..BHZ,Spurr,None,False,True
AV.CKL..EHZ,Spurr,None,False,True
AV.BGL..EHZ,Spurr,None,False,True
AV.CKT..EHZ,Spurr,None,False,True
AV.CRP..EHZ,Spurr,None,False,True
AV.RDDF..BHZ,Redoubt,120,False,True
AV.RSO..EHZ,Redoubt,None,False,True
AV.NCT..BHZ,Redoubt,120,False,True
AV.DFR..EHZ,Redoubt,None,False,True
AV.RED..BHZ,Redoubt,120,False,True
AV.RDT..EHZ,Redoubt,None,False,True
AV.ILI..EHZ,Iliamna,None,False,True
AV.ILS..EHZ,Iliamna,None,False,True
AV.IVE..EHZ,Iliamna,None,False,True
AV.INE..EHZ,Iliamna,None,False,True
AV.AUCH..BHZ,Augustine,None,False,True
AV.AUW..EHZ,Augustine,None,False,True
AV.AU22..BHZ,Augustine,None,False,True
AV.AUE..EHZ,Augustine,None,False,True
AV.AUP..EHZ,Augustine,None,False,True
AV.AUH..EHZ,Augustine,None,False,True
NZ.WIZ.10.HHZ,Whakaari,None,False,True
NZ.WSRZ.10.HHZ,Whakaari,None,False,True
6I.0XXXX.XX.HDH,KSC,None,True,False
6I.12264.29.HDD,KSC,None,True,False
6I.21498.82.HDD,KSC,None,True,False
6I.21516.91.HDD,KSC,None,True,False
6I.21516.92.BDD,KSC,None,True,False
6S.02374.88.HDH,KSC,None,True,False
6S.12264.19.HDD,KSC,None,True,False
6S.12264.20.HDD,KSC,None,True,False
6S.12264.21.HDD,KSC,None,True,False
6S.12264.23.BDD,KSC,None,True,False
FL.BCHH2.10.HD4,KSC,None,False,True
FL.BCHH2.10.HD5,KSC,None,False,False
FL.BCHH2.10.HD6,KSC,None,False,False
FL.BCHH2.10.HD7,KSC,None,False,False
FL.BCHH2.10.HD8,KSC,None,False,False
FL.BCHH2.10.HD9,KSC,None,False,False
FL.BCHH4.00.HD2,KSC,None,False,False
FL.BCHH4.00.HD3,KSC,None,False,False
FL.BCHH4.00.HDF,KSC,None,False,True
FL.BCHH4.10.HHE,KSC,None,False,False
FL.BCHH4.10.HHN,KSC,None,False,False
FL.BCHH4.10.HHZ,KSC,None,False,True
FL.S39A1.00.HHE,KSC,None,False,False
FL.S39A1.00.HHN,KSC,None,False,False
FL.S39A1.00.HHZ,KSC,None,False,True
FL.S39A1.10.HDF,KSC,None,False,True
FL.S39A2.00.HHE,KSC,None,False,False
FL.S39A2.00.HHN,KSC,None,False,False
FL.S39A2.00.HHZ,KSC,None,False,True
FL.S39A2.10.HDF,KSC,None,False,True
